POSITION	SEASON	GP	PPG	PER	MPG	RPG	APG	SPG	BPG	TPG	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	MIN	PTS	REB	AST	STL	BLK	TOV	PF	+/-
Power Forward	2000-01	4987	9.3	15.5	23.6	5.6	1.4	0.7	0.7	1.4	3.6	7.8	45.9	0.2	0.7	33.7	1.9	2.7	71.2	117,760	46,456	27,937	7,094	3,335	3,533	6,837	12,206	+223
Center	2000-01	4778	7.2	14.7	21.1	5.7	0.8	0.5	1.1	1.2	2.8	6.0	47.0	0.0	0.1	23.7	1.6	2.4	66.8	100,617	34,409	27,296	3,947	2,399	5,264	5,635	12,238	-153
Point Guard	2001-02	4902	9.5	15.3	24.7	2.5	4.4	1.0	0.1	1.6	3.6	8.4	42.2	0.8	2.2	34.8	1.7	2.1	79.6	120,869	46,730	12,446	21,700	4,785	676	8,035	8,648	+194
Shooting Guard	2001-02	4572	11.2	15	26.0	3.2	2.3	0.9	0.3	1.4	4.1	9.5	43.6	1.0	2.5	37.3	2.0	2.4	80.2	118,704	51,089	14,654	10,648	4,243	1,349	6,443	8,511	-57
Small Forward	2001-02	4531	10.8	14.6	26.0	4.3	2.0	0.9	0.4	1.5	4.1	9.4	44.1	0.6	1.8	33.6	1.9	2.5	76.9	117,877	49,070	19,549	8,997	3,882	1,965	6,706	9,631	+155
Power Forward	2001-02	4821	9.2	15.2	23.7	5.6	1.4	0.6	0.7	1.3	3.5	7.7	45.8	0.2	0.7	34.5	1.9	2.6	73.3	114,419	44,482	26,891	6,929	3,125	3,394	6,412	11,586	+320
Center	2001-02	5083	7.0	14.8	20.2	5.4	0.8	0.5	1.0	1.0	2.7	5.7	47.9	0.1	0.2	35.5	1.5	2.2	66.9	102,801	35,672	27,289	3,857	2,503	5,038	5,257	12,121	-612
Point Guard	2002-03	4705	9.6	15.1	24.8	2.5	4.1	1.0	0.1	1.7	3.5	8.3	42.2	0.8	2.2	34.8	1.8	2.2	80.3	116,645	45,102	11,886	19,123	4,473	646	7,958	8,688	-430
Shooting Guard	2002-03	4700	10.8	15.1	25.0	3.1	2.4	0.9	0.3	1.5	3.9	9.2	42.7	0.8	2.3	35.6	2.1	2.6	79.8	117,283	50,636	14,780	11,208	4,373	1,193	6,891	8,841	+116
Small Forward	2002-03	4838	10.2	14.4	25.5	4.1	1.8	0.9	0.4	1.4	3.9	8.8	43.9	0.7	1.9	35.3	1.9	2.4	77.7	123,496	49,584	20,054	8,907	4,247	1,855	6,877	10,479	+652
Power Forward	2002-03	4303	10.2	16.2	25.0	6.0	1.7	0.7	0.7	1.4	3.9	8.5	46.0	0.3	0.9	33.6	2.1	2.8	72.9	107,675	43,977	25,813	7,156	3,047	2,921	6,186	10,326	+577
Center	2002-03	5393	6.8	14.3	20.5	5.2	0.9	0.5	1.0	1.1	2.7	5.6	47.3	0.0	0.1	30.1	1.5	2.2	68.6	110,321	36,803	28,071	4,739	2,744	5,313	6,021	13,396	-915
Point Guard	2003-04	4495	9.3	14.8	24.8	2.5	4.2	1.0	0.1	1.8	3.4	8.2	41.4	0.8	2.3	34.3	1.7	2.2	79.2	111,507	41,976	11,135	18,675	4,418	639	7,918	8,350	+461
Shooting Guard	2003-04	4480	11.4	15	26.7	3.2	2.7	1.0	0.3	1.5	4.2	10.0	41.8	0.9	2.6	34.8	2.1	2.6	79.7	119,419	51,004	14,447	12,015	4,360	1,140	6,919	8,452	-550
Small Forward	2003-04	4777	9.5	14	24.4	3.8	1.6	0.8	0.3	1.3	3.6	8.1	43.7	0.7	1.9	36.0	1.8	2.3	76.8	116,715	45,613	18,221	7,713	4,007	1,482	6,277	9,793	+441
Power Forward	2003-04	5035	9.6	16.4	24.2	5.9	1.6	0.7	0.7	1.4	3.7	8.0	45.7	0.3	0.8	33.5	2.0	2.8	73.6	121,902	48,513	29,625	7,881	3,595	3,699	7,245	11,865	+771
Center	2003-04	5107	6.9	14.6	20.6	5.3	0.9	0.5	1.0	1.1	2.7	5.6	47.9	0.0	0.1	26.9	1.5	2.2	67.2	105,227	34,991	26,933	4,374	2,484	5,062	5,507	12,546	-1123
Point Guard	2004-05	5003	9.8	15.3	24.6	2.4	4.2	0.9	0.1	1.7	3.5	8.3	42.5	0.8	2.3	35.2	1.9	2.4	80.1	122,988	49,258	12,095	21,088	4,693	595	8,279	9,698	+74
Shooting Guard	2004-05	4937	10.2	14	24.7	3.0	2.2	0.8	0.2	1.3	3.6	8.5	42.5	0.8	2.4	35.4	2.1	2.6	79.9	122,114	50,182	14,949	11,101	4,173	1,149	6,648	9,978	-657
Small Forward	2004-05	4676	11.2	14.9	26.1	4.0	1.9	0.8	0.4	1.4	4.1	9.2	44.6	0.8	2.2	37.0	2.1	2.7	77.1	121,868	52,154	18,767	9,103	3,897	1,744	6,738	10,118	-194
Power Forward	2004-05	4803	10.3	16.4	24.9	6.2	1.4	0.7	0.7	1.4	3.9	8.5	46.3	0.3	0.9	34.2	2.2	2.9	73.7	119,503	49,685	29,683	6,933	3,352	3,575	6,575	11,882	+988
Center	2004-05	5536	6.8	14.4	19.6	5.0	0.7	0.4	0.9	1.1	2.6	5.4	49.2	0.0	0.1	32.2	1.5	2.2	67.4	108,527	37,830	27,476	4,117	2,374	4,900	5,844	13,995	-211
Point Guard	2005-06	5052	10.2	15.2	25.0	2.4	4.0	0.9	0.1	1.7	3.7	8.5	42.8	0.9	2.3	36.3	2.0	2.6	79.1	126,201	51,425	12,349	20,095	4,603	654	8,431	10,134	+818
Shooting Guard	2005-06	4731	11.4	14.8	26.2	3.0	2.4	0.9	0.2	1.5	4.1	9.4	43.9	1.0	2.6	36.5	2.3	2.8	79.3	123,980	54,124	14,327	11,420	4,117	1,063	7,093	9,737	+333
Small Forward	2005-06	4667	10.2	14.7	25.1	4.0	1.7	0.8	0.4	1.3	3.7	8.2	44.7	0.7	1.9	35.4	2.2	2.9	74.8	117,203	47,715	18,726	8,121	3,609	2,044	6,122	9,982	-948
Power Forward	2005-06	5177	9.7	16.2	23.3	5.4	1.4	0.6	0.6	1.3	3.7	7.8	47.3	0.3	0.9	34.7	1.9	2.7	72.7	120,643	50,156	28,101	7,239	2,986	3,022	6,541	12,430	+93
Center	2005-06	5289	6.7	13.9	20.3	5.2	0.7	0.4	0.9	1.1	2.6	5.3	49.9	0.1	0.2	32.2	1.3	2.0	65.3	107,527	35,221	27,251	3,836	2,317	4,777	5,689	13,703	-296
Point Guard	2006-07	4880	9.5	14.8	24.0	2.4	4.1	0.9	0.1	1.7	3.4	8.0	42.6	0.8	2.3	34.6	1.8	2.3	80.0	116,947	46,207	11,602	20,038	4,233	544	8,102	9,126	+13
Shooting Guard	2006-07	5060	11.0	14.8	25.0	2.7	2.4	0.8	0.2	1.5	3.9	8.9	44.2	0.9	2.6	36.7	2.2	2.8	80.1	126,720	55,847	13,789	12,299	4,279	1,031	7,457	9,809	+344
Small Forward	2006-07	4514	11.6	15.2	27.1	4.2	1.9	0.9	0.4	1.5	4.2	9.3	45.5	0.9	2.5	36.5	2.2	2.9	76.4	122,196	52,448	18,881	8,557	3,838	2,030	6,618	9,746	+724
Power Forward	2006-07	5647	8.4	14.7	21.3	4.9	1.2	0.5	0.5	1.2	3.2	6.9	47.1	0.3	0.9	35.3	1.6	2.2	73.4	120,263	47,541	27,548	6,628	3,010	2,696	6,834	12,936	-1273
Center	2006-07	4985	8.2	15.6	22.0	5.9	1.0	0.5	1.0	1.3	3.2	6.2	51.2	0.1	0.2	33.0	1.8	2.6	66.3	109,637	40,856	29,174	4,843	2,447	5,028	6,702	13,049	+192
Point Guard	2007-08	4855	9.4	14.6	24.2	2.4	4.2	0.9	0.1	1.6	3.5	8.0	43.3	0.8	2.3	36.0	1.6	2.0	79.8	117,451	45,609	11,562	20,610	4,313	618	7,638	8,699	-429
