"","Season","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Player-additional"
"13473","2011-2012","Trey Johnson","SG",27,"NOH",11,61,11.8,0.648,0,0.357,6,17.3,11.7,11.1,0.9,0,23.6,16.4,0.1,0,0.1,0.096,-2.7,-0.3,-2.9,0,"johnstr01"
"13474","2011-2012","Wesley Johnson","SF",24,"MIN",65,1469,8,0.477,0.426,0.086,1.8,11.6,6.7,6.4,1.2,2.3,12.7,14.3,-0.4,1,0.6,0.021,-2.7,0.6,-2.1,0,"johnswe01"
"13475","2011-2012","Dahntay Jones","SF",31,"IND",65,1052,10.3,0.533,0.274,0.352,2.5,10,6.3,9.6,1.2,0.8,12.4,16,1.1,0.8,2,0.09,-1.7,-0.1,-1.9,0,"jonesda02"
"13476","2011-2012","Dominique Jones","SG",23,"DAL",33,268,11.8,0.493,0.11,0.507,3.8,14.6,9.2,24.6,2,1.5,23.9,20.3,-0.1,0.4,0.2,0.044,-3.1,1.2,-1.9,0,"jonesdo02"
"13477","2011-2012","James Jones","SG",31,"MIA",51,666,9.7,0.567,0.76,0.2,1.1,7.4,4.4,4.2,1.3,1.1,5.8,12.1,0.9,0.7,1.7,0.12,-0.4,0.4,0,0.3,"jonesja02"
"13478","2011-2012","Solomon Jones","C-PF",27,"TOT",21,292,9.1,0.471,0,0.377,13.1,10.5,11.8,4.9,1.7,3.1,20.2,14.4,0,0.3,0.3,0.042,-4,-0.1,-4.2,-0.2,"jonesso01"
"13479","2011-2012","Solomon Jones","PF",27,"LAC",10,96,5.3,0.294,0,0.625,13.5,7.5,10.5,2.8,2.2,4.3,32.9,7.3,-0.1,0.1,0,0.008,-4.5,-0.1,-4.6,-0.1,"jonesso01"
"13480","2011-2012","Solomon Jones","C",27,"NOH",11,196,11,0.501,0,0.34,13,12,12.5,5.9,1.4,2.5,17.6,17.8,0.1,0.2,0.2,0.059,-3.8,-0.2,-4,-0.1,"jonesso01"
"13481","2011-2012","DeAndre Jordan","C",23,"LAC",66,1798,16.4,0.626,0.003,0.433,13.2,23,18.1,1.5,0.9,6.2,16,11.9,3.2,2.4,5.6,0.15,-0.4,0.4,0.1,0.9,"jordade01"
"13482","2011-2012","Jerome Jordan","C",25,"NYK",21,108,18.3,0.561,0,0.303,14.8,14.1,14.4,6.3,0.5,4.4,5.1,16.4,0.3,0.1,0.5,0.211,0.2,-0.4,-0.2,0.1,"jordaje01"
