season,team,Pre-Season,Post-Reg_Season,Mean,Median,Min,Max,winner
1970,PHI,1518.7454,1504.5236,1517.8690207317072,1520.7172,1442.0394,1520.7172,INA
1970,BOS,1580.4756,1423.5682,1466.096487804878,1456.0011,1403.5962,1456.0011,INA
1970,NYA,1212.6576,1365.248,1309.1291011904764,1305.61735,1194.7217,1305.61735,INA
1970,LAS,1330.7886,1415.6213,1373.4743797619046,1365.1091000000001,1318.2233,1365.1091000000001,INA
1970,MMF,1409.0911,1208.356,1290.8676595238096,1293.1593,1203.0447,1293.1593,INA
1970,NOB,1454.6531,1404.6008,1425.227767857143,1432.42695,1349.0468,1432.42695,INA
1970,LAL,1580.8601,1505.4861,1520.0461146341465,1515.43275,1455.007,1515.43275,INA
1970,WSA,1524.3359,1419.6003,1440.3397011904763,1449.0855,1369.8894,1449.0855,INA
1970,KEN,1401.7549,1401.3274,1408.455448809524,1412.2275,1347.7001,1412.2275,INA
1970,SFW,1442.8602,1328.1072,1402.7638646341463,1414.59985,1318.0007,1414.59985,INA
1970,MIL,1367.3224,1580.2954,1520.4524829268294,1551.51585,1374.9739,1551.51585,INA
1970,CAR,1289.9043,1390.1893,1354.4911130952382,1346.3337999999999,1298.6272,1346.3337999999999,INA
1970,DET,1405.8032,1374.8436,1380.541,1382.04425,1328.1024,1382.04425,INA
1970,PTP,1355.4163,1285.795,1296.1170357142857,1274.3621,1228.5853,1274.3621,INA
1970,DNR,1393.3705,1527.916,1437.292855952381,1463.5030499999998,1328.4127,1463.5030499999998,INA
1971,NYK,1569.6698,1539.7366,1574.0783353658537,1583.5122000000001,1499.131,1583.5122000000001,UTS
1971,SDR,1385.9458,1497.4712,1415.3764609756097,1415.7961500000001,1352.561,1415.7961500000001,UTS
1971,BOS,1443.9261,1486.3151,1479.4867670731708,1479.1770000000001,1423.0232,1479.1770000000001,UTS
1971,CHI,1439.8711,1557.1841,1516.9130573170733,1508.81975,1437.2941,1508.81975,UTS
